id, user rating, date added, poster, title, link
tt3783958,10,2020 Sep 22,https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_.jpg,La La Land,https://www.imdb.com/title/tt3783958
tt5323662,10,2020 Sep 22,https://m.media-amazon.com/images/M/MV5BZGRkOGMxYTUtZTBhYS00NzI3LWEzMDQtOWRhMmNjNjJjMzM4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,A Silent Voice: The Movie,https://www.imdb.com/title/tt5323662
tt0068646,10,2020 Sep 22,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,The Godfather,https://www.imdb.com/title/tt0068646
tt1895587,10,2020 Sep 23,https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_.jpg,Spotlight,https://www.imdb.com/title/tt1895587
tt0386676,10,2020 Sep 23,https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg,The Office,https://www.imdb.com/title/tt0386676
tt3032476,8,2020 Sep 23,https://m.media-amazon.com/images/M/MV5BMGE4YzY4NGEtOWYyYS00ZDk2LWExMmMtZDIyODhiMmNlMGE0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,Better Call Saul,https://www.imdb.com/title/tt3032476
tt0468569,10,2020 Sep 23,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,The Dark Knight,https://www.imdb.com/title/tt0468569
tt3262342,8,2020 Sep 23,https://m.media-amazon.com/images/M/MV5BMTU3NjE2NjgwN15BMl5BanBnXkFtZTgwNDYzMzEwMzI@._V1_.jpg,Loving Vincent,https://www.imdb.com/title/tt3262342
tt0071562,8,2020 Sep 23,https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,The Godfather: Part II,https://www.imdb.com/title/tt0071562
tt7686962,8,2020 Sep 23,._V1_.jpg,Amelie,https://www.imdb.com/title/tt7686962
tt8111088,4,2020 Sep 23,https://m.media-amazon.com/images/M/MV5BMWI0OTJlYTItNzMwZi00YzRiLWJhMjItMWRlMDNhZjNiMzJkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,The Mandalorian,https://www.imdb.com/title/tt8111088
